City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jamestown,100,AU,1576121439,20,-33.21,138.6,298.46,4.6
Takoradi,100,GH,1576121439,83,4.89,-1.75,299.94,2.75
Cap Malheureux,75,MU,1576121439,83,-19.98,57.61,300.37,3.6
East London,100,ZA,1576121234,86,-33.02,27.91,292.88,8.29
Sabang,61,PH,1576121439,68,13.8,121.11,300.4,6.13
Sauda,100,NO,1576121440,73,59.65,6.35,279.82,7.15
Tiarei,40,PF,1576121440,78,-17.53,-149.33,300.15,2.1
Atuona,0,PF,1576121202,67,-9.8,-139.03,299.72,4.99
Nome,1,US,1576121440,66,30.04,-94.42,283.15,2.6
Volkach,90,DE,1576121440,100,49.86,10.23,274.82,3.6
Xuddur,9,SO,1576121440,79,4.12,43.89,295.91,2.73
Khani,0,GE,1576121440,46,41.96,42.96,279.15,4.6
Chokurdakh,100,RU,1576121441,96,70.62,147.9,243.38,1.79
Santa Maria,83,BR,1576121441,83,-16.02,-48.01,295.15,1.5
Praia da Vitoria,75,PT,1576121441,82,38.73,-27.07,287.59,1.93
Iqaluit,40,CA,1576121441,70,63.75,-68.52,256.15,5.7
Roura,53,GF,1576121441,100,4.73,-52.33,297.15,1.5
Jinchang,4,CN,1576121441,19,38.52,102.19,272.6,1.58
West Wendover,90,US,1576121441,86,40.74,-114.07,274.15,1.5
Monywa,0,MM,1576121441,64,22.12,95.13,293.91,3.42
Vardo,90,US,1576121441,80,39.62,-77.74,273.15,4.1
Lata,100,IN,1576121441,97,30.78,78.62,266.0,3.23
Tuatapere,100,NZ,1576121442,97,-46.13,167.69,287.06,0.68
Yining,0,CN,1576121442,39,29.04,114.56,288.4,0.72
La Ronge,5,CA,1576121442,67,55.1,-105.3,241.15,0.51
Togul,100,RU,1576121442,95,53.47,85.91,260.89,1.32
Klaksvik,0,FO,1576121442,93,62.23,-6.59,276.15,7.2
Elizabeth City,1,US,1576121442,67,36.3,-76.22,278.15,2.63
Sheridan,1,US,1576121442,41,39.65,-105.03,279.26,3.6
Korem,0,ET,1576121442,89,12.51,39.52,284.45,0.69
Fomboni,16,KM,1576121442,78,-12.28,43.74,301.46,4.68
Rawson,51,AR,1576121216,63,-43.3,-65.11,285.39,15.67
Baykit,84,RU,1576121443,93,61.68,96.39,265.31,2.13
Lumsden,90,CA,1576121443,77,50.65,-104.86,257.15,4.1
Portland,1,US,1576121393,68,43.66,-70.25,271.48,2.1
Nuevo Progreso,75,US,1576121443,81,26.05,-97.95,285.93,1.5
Puerto Ayora,0,EC,1576121254,90,-0.74,-90.35,295.37,5.15
Kruisfontein,69,ZA,1576121443,90,-34.0,24.73,289.78,3.63
Biak,87,ID,1576121443,73,-0.91,122.88,301.27,1.8
Ancud,40,CL,1576121443,93,-41.87,-73.83,278.15,0.5
Nago,100,IT,1576121443,45,45.88,10.89,276.48,2.6
Maniitsoq,100,GL,1576121443,46,65.42,-52.9,266.24,0.81
Kuching,75,MY,1576121443,70,1.56,110.34,302.15,1.0
Aguada de Pasajeros,0,CU,1576121444,94,22.38,-80.85,297.15,2.6
Tavares,54,BR,1576121444,69,-7.64,-37.88,297.46,4.63
Innisfail,40,AU,1576121444,92,-17.52,146.03,296.48,1.34
Broome,0,GB,1576121444,86,52.47,1.45,274.82,2.6
Brokopondo,40,SR,1576121444,94,5.06,-54.98,297.15,0.5
Dikson,2,RU,1576121444,90,73.51,80.55,248.46,5.05
Bambous Virieux,75,MU,1576121444,83,-20.34,57.76,300.37,3.6
Namibe,92,AO,1576121444,81,-15.19,12.15,295.4,5.95
Fallon,75,US,1576121444,92,46.84,-105.12,268.15,1.22
Castro,40,CL,1576121444,93,-42.48,-73.76,278.15,0.5
Jiazi,20,CN,1576121444,64,19.61,110.49,297.15,6.0
Norman Wells,5,CA,1576121445,75,65.28,-126.83,246.15,2.6
Vila Velha,20,BR,1576121348,78,-3.71,-38.6,300.37,3.1
Husavik,100,CA,1576121218,84,50.56,-96.99,253.71,2.1
Saravan,75,AM,1576121445,93,39.72,45.65,275.15,2.1
Los Llanos de Aridane,0,ES,1576121445,68,28.66,-17.92,291.15,5.1
Ahipara,0,NZ,1576121445,66,-35.17,173.16,300.37,0.45
Cootamundra,33,AU,1576121445,21,-34.64,148.03,302.59,1.79
Yumen,83,CN,1576121445,27,40.29,97.04,271.65,2.15
San Policarpo,29,PH,1576121445,84,12.18,125.51,300.84,6.37
Linkou,0,CN,1576121446,65,45.29,130.27,262.65,6.9
Poyarkovo,0,RU,1576121446,86,49.62,128.65,255.95,1.85
Mering,100,DE,1576121219,93,48.27,10.98,275.37,2.6
Guasdualito,38,VE,1576121446,83,7.24,-70.73,298.15,1.5
Thompson,5,CA,1576121413,74,55.74,-97.86,242.15,1.0
Hilo,75,US,1576121446,74,19.71,-155.08,299.15,3.1
Sorong,67,ID,1576121446,51,-0.86,131.25,307.14,0.38
Umm Lajj,50,SA,1576121446,67,25.02,37.27,291.5,1.39
Barroso,40,BR,1576121446,100,-23.67,-46.22,292.15,2.32
Severo-Kurilsk,100,RU,1576121446,83,50.68,156.12,269.6,1.71
Santa Rosa,0,AR,1576121446,12,-36.62,-64.29,295.35,12.34
Tautira,40,PF,1576121446,78,-17.73,-149.15,300.15,2.1
Itarema,82,BR,1576121447,87,-2.92,-39.92,298.4,1.57
Muzaffarabad,100,PK,1576121447,67,34.37,73.47,274.6,3.62
San Rafael del Sur,40,NI,1576121447,78,11.85,-86.44,299.15,2.1
Sumoto,20,JP,1576121447,44,34.35,134.9,288.15,7.7
Bodden Town,20,KY,1576121447,88,19.28,-81.25,300.15,3.1
Bethel,90,US,1576121447,79,60.79,-161.76,270.15,8.2
Sassandra,98,CI,1576121447,87,4.95,-6.09,298.44,2.12
Puri,100,ID,1576121286,54,-7.54,112.45,305.3,2.11
Hoa Binh,0,VN,1576121431,63,20.81,105.34,290.15,1.5
Souillac,86,FR,1576121448,86,45.6,-0.6,279.26,1.0
Poum,75,MK,1576121448,91,41.28,20.71,277.15,2.6
Ibra,55,OM,1576121448,57,22.69,58.55,293.59,0.63
Bilibino,100,RU,1576121448,99,68.06,166.44,249.62,2.2
Isangel,20,VU,1576121448,58,-19.55,169.27,301.15,5.1
Teya,40,MX,1576121448,78,21.05,-89.07,298.71,3.1
Aklavik,5,CA,1576121162,69,68.22,-135.01,248.15,3.1
Mirnyy,100,RU,1576121449,95,56.57,36.46,273.93,3.34
Kaeo,65,NZ,1576121449,66,-35.1,173.78,300.37,0.45
Ahmadpur,0,IN,1576121449,82,18.7,76.94,292.15,1.5
Kaitangata,27,NZ,1576121449,83,-46.28,169.85,288.71,4.92
Avarua,99,CK,1576121449,94,-21.21,-159.78,298.15,6.7
Jizan,20,SA,1576121449,83,16.89,42.56,300.15,2.15
Hami,1,CN,1576121449,40,42.84,93.51,270.74,0.55
Chase,1,US,1576121449,70,38.35,-98.35,280.15,9.8
Rosarito,75,CO,1576121449,100,4.91,-75.23,296.15,1.0
Dunedin,68,NZ,1576121449,83,-45.87,170.5,288.71,8.94
Mahebourg,75,MU,1576121450,83,-20.41,57.7,300.37,3.6
Trat,20,TH,1576121450,58,12.25,102.51,303.15,2.6
North Platte,1,US,1576121450,79,41.12,-100.77,273.15,2.6
Pombas,98,BR,1576121450,90,-15.9,-54.74,295.02,1.54
Sofiyivka,90,UA,1576121450,100,48.05,33.87,276.15,5.0
Kharitonovo,85,RU,1576121450,79,61.4,47.5,266.96,2.79
Novyy Urgal,89,RU,1576121450,90,51.07,132.56,246.8,0.65
Iskateley,99,RU,1576121450,93,67.68,53.15,264.88,4.16
College,1,US,1576121450,92,64.86,-147.8,271.15,2.16
Itacare,40,BR,1576121451,78,-14.28,-39.0,300.15,2.6
Songjianghe,100,CN,1576121451,74,42.18,127.48,262.35,3.5
Ribeira Grande,21,PT,1576121451,68,38.52,-28.7,285.07,1.88
Talnakh,75,RU,1576121346,92,69.49,88.39,267.15,6.0
Sarkikaraagac,100,TR,1576121451,98,38.08,31.37,277.19,2.83
Cherskiy,100,RU,1576121451,97,68.75,161.3,252.21,6.68
Whitehorse,90,CA,1576121451,92,60.72,-135.06,267.04,0.9
High Level,75,CA,1576121451,69,58.52,-117.13,249.15,1.0
Vostok,100,RU,1576121451,92,46.45,135.83,254.7,3.45
Alyangula,71,AU,1576121451,50,-13.85,136.42,308.15,6.2
Chalchuapa,25,SV,1576121451,73,13.99,-89.68,297.15,2.6
Tambacounda,100,SN,1576121452,31,13.77,-13.67,296.15,2.1
Ust-Ilimsk,100,RU,1576121452,92,57.96,102.73,266.08,5.1
Ateptsevo,90,RU,1576121452,97,55.32,36.75,275.93,3.0
San Rafael,91,AR,1576121153,16,-34.61,-68.33,296.54,10.35
Te Anau,100,NZ,1576121452,91,-45.41,167.72,286.03,1.92
Kavaratti,20,IN,1576121452,78,10.57,72.64,301.15,1.94
Lentekhi,0,GE,1576121452,67,42.79,42.72,263.79,1.31
Abakaliki,100,NG,1576121452,84,6.32,8.11,296.89,2.25
Geraldton,75,CA,1576121452,75,49.72,-86.95,247.15,1.5
Shelbyville,1,US,1576121453,58,39.41,-88.79,272.15,2.6
Mae Ramat,0,TH,1576121453,64,16.98,98.52,294.82,0.5
Kota Kinabalu,75,MY,1576121453,83,5.98,116.07,302.59,1.5
Kulunda,58,RU,1576121453,93,52.57,78.94,264.01,3.72
Tasiilaq,100,GL,1576121346,79,65.61,-37.64,269.15,15.4
Polunochnoye,0,RU,1576121453,74,60.87,60.43,265.2,5.63
Praia,90,BR,1576121453,78,-20.25,-43.81,295.15,2.1
Meulaboh,42,ID,1576121453,77,4.14,96.13,299.64,3.04
Savannah Bight,0,HN,1576121453,78,16.45,-85.85,300.52,7.4
Namatanai,100,PG,1576121454,70,-3.66,152.44,302.59,3.76
Yamada,75,JP,1576121454,81,36.58,137.08,283.15,4.1
Kailua,90,US,1576121454,74,21.39,-157.74,300.15,2.1
Malanje,100,AO,1576121454,91,-9.54,16.35,290.28,1.13
Wanning,75,AT,1576121454,92,48.64,13.53,274.82,2.1
Bac Ninh,0,VN,1576121209,63,21.18,106.05,290.15,1.5
Mirabad,0,IR,1576121454,91,28.27,61.33,280.86,0.52
Pisco,90,PE,1576121274,88,-13.71,-76.2,292.15,6.7
Lagoa,0,PT,1576121454,76,37.14,-8.45,284.82,4.6
Koumac,100,NC,1576121454,67,-20.56,164.28,296.08,0.61
Vila Franca do Campo,75,PT,1576121454,66,37.72,-25.43,286.15,2.1
Port Hardy,75,CA,1576121455,93,50.7,-127.42,280.15,10.8
Kondinskoye,100,RU,1576121455,87,59.65,67.41,268.74,5.93
Yukamenskoye,93,RU,1576121455,93,57.89,52.24,265.09,4.32
Faanui,62,PF,1576121238,73,-16.48,-151.75,300.08,3.31
Port-Gentil,100,GA,1576121455,83,-0.72,8.78,299.56,6.55
Fort Frances,1,CA,1576121455,64,48.61,-93.4,254.15,1.5
Yertsevo,80,RU,1576121455,66,60.8,40.09,270.0,4.53
Tazovskiy,100,RU,1576121455,95,67.47,78.7,259.71,2.55
Oshnaviyeh,20,IR,1576121455,79,37.04,45.1,269.15,3.1
Eyrarbakki,10,IS,1576121455,58,63.86,-21.15,272.15,4.6
Ravar,0,IR,1576121455,50,31.27,56.81,279.09,3.41
Xichang,99,CN,1576121456,91,27.88,102.25,274.9,2.31
Salinopolis,100,BR,1576121456,76,-0.61,-47.36,301.07,7.76
Sur,89,OM,1576121456,70,22.57,59.53,295.34,1.08
Tigzirt,87,DZ,1576121456,92,36.57,4.2,280.35,2.64
Nalut,0,LY,1576121456,46,31.86,10.98,281.4,4.83
Bonthe,12,SL,1576121456,79,7.53,-12.5,299.2,0.65
Cidreira,17,BR,1576121196,91,-30.17,-50.22,296.07,11.92
Zhezkazgan,90,KZ,1576121456,93,47.8,67.71,273.15,3.0
Kitimat,90,CA,1576121456,86,54.02,-128.69,272.59,9.8
Leh,100,IN,1576121456,86,34.16,77.58,259.28,1.16
Alofi,75,NU,1576121456,78,-19.06,-169.92,301.15,3.1
Barranca,100,PE,1576121456,90,-10.75,-77.76,292.32,6.26
Dudinka,75,RU,1576121457,92,69.41,86.18,267.15,6.0
Ahuimanu,90,US,1576121457,74,21.44,-157.84,300.15,2.1
Orange Cove,100,US,1576121457,100,36.62,-119.31,285.15,1.12
Iracoubo,24,GF,1576121457,82,5.48,-53.21,299.46,7.59
Gunnedah,0,AU,1576121457,20,-30.98,150.25,307.15,4.6
Dubai,20,AE,1576121457,60,25.27,55.3,297.15,5.1
Usinsk,95,RU,1576121457,95,66.0,57.56,264.44,4.46
Osoyoos,90,CA,1576121457,86,49.03,-119.47,274.15,1.5
Isla Vista,1,US,1576121457,87,34.41,-119.86,288.15,1.5
Grindavik,20,IS,1576121458,79,63.84,-22.43,272.15,10.8
Padang,99,ID,1576121458,79,-0.92,100.36,296.38,3.13
Mwinilunga,100,ZM,1576121458,98,-11.73,24.43,289.98,1.2
Show Low,1,US,1576121182,64,34.25,-110.03,277.15,3.1
San Vicente,75,EC,1576121458,83,-0.59,-80.41,297.15,5.1
Natal,75,BR,1576121458,83,-5.81,-35.21,299.15,3.1
Salalah,8,OM,1576121458,73,17.01,54.1,296.15,2.6
Pevek,100,RU,1576121458,94,69.7,170.27,260.95,4.04
Ugoofaaru,100,MV,1576121458,71,5.67,73.0,301.0,2.6
Aras,75,ES,1576121459,81,42.56,-2.36,279.26,3.6
Bayaguana,20,DO,1576121459,88,18.75,-69.64,299.26,2.6
Akranes,92,IS,1576121459,58,64.32,-22.07,272.15,4.6
Hasaki,20,JP,1576121459,52,35.73,140.83,292.04,5.1
Yenagoa,90,NG,1576121459,94,4.92,6.26,297.29,1.01
Srikakulam,0,IN,1576121180,64,18.29,83.89,296.66,1.4
Ruteng,47,ID,1576121459,44,-8.61,120.46,303.72,2.88
Goderich,93,CA,1576121459,78,43.74,-81.71,267.04,5.36
Fereydun Kenar,75,IR,1576121459,100,36.69,52.52,282.15,2.1
Wattegama,33,LK,1576121459,75,7.35,80.68,298.69,0.89
Gracac,75,RS,1576121459,100,43.65,20.83,275.15,1.0
Mumford,98,GH,1576121460,93,5.26,-0.76,297.42,0.71
Alekseyevsk,100,RU,1576121460,90,57.84,108.35,265.29,4.02
Pundaguitan,100,PH,1576121460,75,6.37,126.17,300.64,4.2
Cedar City,1,US,1576121460,69,37.68,-113.06,274.15,2.6
Ridgecrest,75,US,1576121277,75,35.62,-117.67,283.15,3.1
Matay,33,EG,1576121460,79,28.42,30.79,284.78,2.12
Khatanga,100,RU,1576121199,87,71.98,102.47,250.67,3.5
Hovd,92,NO,1576121460,52,63.83,10.7,279.82,14.4
Nikolskoye,93,RU,1576121461,79,59.7,30.79,271.48,5.0
Saint-Francois,90,FR,1576121461,80,46.42,3.91,277.59,4.6
Ventanas,0,CL,1576121461,72,-32.74,-71.48,290.15,1.5
Erenhot,0,CN,1576121461,60,43.65,111.97,267.74,7.56
Hay River,20,CA,1576121413,74,60.82,-115.79,242.15,2.1
Salina Cruz,9,MX,1576121461,66,16.18,-95.2,298.63,20.28
Cooma,0,AU,1576121461,23,-36.24,149.13,296.15,4.6
Kichera,100,RU,1576121461,94,55.93,110.1,261.43,0.34
Mincivan,0,AZ,1576121462,60,39.03,46.72,273.06,1.87
Hobyo,7,SO,1576121462,86,5.35,48.53,298.17,3.54
Sao Joao da Barra,100,BR,1576121462,95,-21.64,-41.05,296.38,3.5
Seryshevo,0,RU,1576121462,94,51.09,128.38,250.48,1.25
Magway,0,MM,1576121462,60,20.15,94.92,293.88,2.97
Georgetown,90,GY,1576121236,100,6.8,-58.16,297.15,1.0
Vawkavysk,90,BY,1576121462,95,53.15,24.45,273.15,5.0
Okakarara,93,NA,1576121462,42,-20.59,17.46,293.27,4.69
Nirasaki,20,JP,1576121462,37,35.72,138.41,289.26,8.7
Balkanabat,46,TM,1576121463,82,39.51,54.36,277.02,2.46
Cajaruro,100,PE,1576121463,88,-5.74,-78.43,293.32,2.03
Aberdeen,90,US,1576121463,100,46.98,-123.82,283.15,5.7
Burns Lake,100,CA,1576121463,95,54.23,-125.76,267.94,1.02
Aasiaat,6,GL,1576121463,64,68.71,-52.87,254.05,3.69
Caluquembe,43,AO,1576121463,71,-13.78,14.68,287.18,1.3
Chany,53,RU,1576121463,89,55.31,76.76,264.3,5.08
Wanaka,100,NZ,1576121464,46,-44.7,169.14,291.13,3.1
Brae,98,GB,1576121464,86,60.4,-1.35,277.15,12.9
Nizhniy Ingash,100,RU,1576121464,89,56.2,96.53,266.84,4.98
Ouargaye,100,BF,1576121464,12,11.5,0.06,295.66,4.07
Knysna,90,ZA,1576121206,93,-34.04,23.05,290.15,1.5
Saint-Joseph,18,FR,1576121464,40,43.56,6.97,284.15,8.2
Kerema,25,PG,1576121465,52,-7.96,145.78,305.51,4.66
Kirakira,99,SB,1576121465,79,-10.46,161.92,301.08,2.07
Gigmoto,24,PH,1576121465,79,13.78,124.39,300.92,7.9
Irricana,90,CA,1576121465,92,51.32,-113.6,266.48,3.6
Tambun,40,ID,1576121465,83,-6.26,107.07,302.04,6.2
Wahiawa,90,US,1576121293,74,21.5,-158.02,300.15,2.1
Dalbandin,11,PK,1576121465,80,28.9,64.41,284.05,0.73
Petropavlovsk-Kamchatskiy,3,RU,1576121465,62,53.05,158.65,266.15,3.0
Bagotville,0,AU,1576121465,74,-28.98,153.42,305.15,6.7
Paamiut,100,GL,1576121466,71,61.99,-49.67,273.03,1.06
Krasnyy Chikoy,100,RU,1576121466,94,50.36,108.75,259.64,1.88
Sistranda,75,NO,1576121466,65,63.73,8.83,279.82,10.3
Fairbanks,1,US,1576121431,92,64.84,-147.72,268.15,2.45
Katsuura,40,JP,1576121467,53,33.93,134.5,285.15,8.7
Richards Bay,49,ZA,1576121467,80,-28.77,32.06,296.28,5.28
Laguna,4,BZ,1576121467,98,16.17,-88.94,294.8,0.45
Broken Hill,99,AU,1576121467,29,-31.97,141.45,298.15,7.2
Kocerin,40,BA,1576121463,75,43.39,17.48,278.15,1.0
Grand Gaube,75,MU,1576121467,83,-20.01,57.66,300.37,3.6
Clyde River,100,CA,1576121219,82,70.47,-68.59,250.07,5.86
Tooele,90,US,1576121467,86,40.53,-112.3,276.48,1.5
Tokur,100,RU,1576121467,95,53.13,132.9,247.44,1.05
Tromso,40,NO,1576121467,77,69.65,18.96,277.15,14.9
Anjar,23,IN,1576121468,78,23.11,70.03,295.52,3.48
Havre-Saint-Pierre,1,CA,1576121468,65,50.23,-63.6,258.15,1.5
Pangnirtung,91,CA,1576121468,70,66.15,-65.72,255.78,2.15
Adrar,0,DZ,1576121468,38,27.87,-0.29,279.15,3.1
Nouadhibou,96,MR,1576121468,37,20.93,-17.03,292.15,6.7
Tari,20,NG,1576121468,14,12.41,4.49,292.37,4.43
Makakilo City,90,US,1576121340,74,21.35,-158.09,300.15,2.1
Konigs Wusterhausen,75,DE,1576121468,100,52.3,13.63,275.37,5.1
Mercedes,47,UY,1576121468,70,-33.25,-58.03,294.04,3.84
Banda Aceh,20,ID,1576121469,71,5.56,95.32,300.52,3.58
Mkushi,100,ZM,1576121469,94,-13.61,29.4,291.05,0.37
Srednekolymsk,100,RU,1576121469,94,67.46,153.71,246.47,3.24
Port Hedland,0,AU,1576121469,13,-20.31,118.58,314.15,4.6
Ajdabiya,19,LY,1576121469,66,30.75,20.22,289.13,9.43
Sechura,100,PE,1576121469,86,-5.56,-80.82,293.42,3.16
Yalta,22,UA,1576121469,92,46.96,37.27,276.44,7.03
Buala,77,SB,1576121469,71,-8.15,159.59,302.08,0.86
Dzaoudzi,50,YT,1576121469,94,-12.79,45.27,299.15,1.0
Cockburn Town,0,TC,1576121469,79,21.46,-71.14,299.47,8.09
Vanimo,100,PG,1576121469,73,-2.67,141.3,300.87,1.82
Chapais,75,CA,1576121470,70,49.78,-74.86,253.15,6.2
Mbuji-Mayi,100,CD,1576121470,96,-6.13,23.6,292.23,0.36
Mogocha,99,RU,1576121470,93,53.73,119.76,249.94,1.12
Torbay,90,CA,1576121286,92,47.66,-52.73,272.04,5.7
